area,budget,hall tiles,hall paint,hall ceiling,main door,bedroom floor,bedroom ceiling,bedroom paint,bathroom tiles,water closet
1200,8000000,ceramictiles,1coatprimer,Fall Ceiling,countrywoodframe,vitrifiedtiles,Fall Ceiling,2coatputtyandroyaleemulsion,ceramicwalltiles,modern
950,5000000,vitrifiedtiles,standardemulsion,Standard Ceiling,upvcdoors,ceramictiles,Standard Ceiling,1coatputty,ceramicwall,traditional
650,4000000,ceramicwalltiles,2coatputty,Fall Ceiling,countrywoodframesanddoors,vitrifiedtiles,Fall Ceiling,2coatputtyandpremiumemulsion,ceramicwalltiles,compact
1400,7000000,ceramicwall,2coatputtyandstandardemulsion,Standard Ceiling,woodendoors,ceramictiles,Standard Ceiling,royaleemulsion,vitrifiedtiles,modern
800,4500000,vitrifiedtiles,royaleemulsion,Fall Ceiling,teakwooddoors,vitrifiedtiles,Fall Ceiling,2coatputty,ceramicwalltiles,classic
950,3500000,ceramictiles,2coatputtyandroyaleemulsion,Standard Ceiling,teakwoodframesanddoors,ceramicwalltiles,Standard Ceiling,standardemulsion,ceramicwall,compact
1100,5500000,vitrifiedtiles,1coatprimer,Fall Ceiling,countrywoodframesanddoors,ceramicwalltiles,Fall Ceiling,royaleemulsion,vitrifiedtiles,traditional
1000,6000000,ceramicwalltiles,2coatputtyandpremiumemulsion,Standard Ceiling,teakwooddoors,vitrifiedtiles,Standard Ceiling,2coatputtyandstandardemulsion,ceramicwalltiles,modern
1300,7500000,ceramicwalltiles,1coatprimer,Fall Ceiling,teakwooddoors,ceramictiles,Fall Ceiling,2coatputty,ceramicwalltiles,compact
700,3200000,ceramicwall,royaleemulsion,Standard Ceiling,teakwoodframesanddoors,vitrifiedtiles,Standard Ceiling,premiumemulsion,vitrifiedtiles,traditional
1150,6500000,vitrifiedtiles,2coatputtyandstandardemulsion,Fall Ceiling,woodendoors,ceramictiles,Fall Ceiling,standardemulsion,ceramicwall,compact
900,4800000,ceramicwalltiles,standardemulsion,Standard Ceiling,countrywoodframesanddoors,ceramicwalltiles,Standard Ceiling,premiumemulsion,ceramicwalltiles,modern
750,3800000,ceramictiles,1coatprimer,Fall Ceiling,teakwooddoors,ceramictiles,Fall Ceiling,1coatputty,ceramicwall,classic
1050,5800000,ceramicwalltiles,royaleemulsion,Standard Ceiling,teakwoodframesanddoors,vitrifiedtiles,Standard Ceiling,2coatputtyandpremiumemulsion,vitrifiedtiles,compact
1250,7200000,vitrifiedtiles,standardemulsion,Fall Ceiling,countrywoodframesanddoors,ceramicwalltiles,Fall Ceiling,premiumemulsion,ceramicwalltiles,modern
850,4200000,ceramicwall,premiumemulsion,Standard Ceiling,upvcdoors,ceramictiles,Standard Ceiling,standardemulsion,vitrifiedtiles,traditional
950,5500000,vitrifiedtiles,1coatprimer,Fall Ceiling,teakwoodframesanddoors,ceramicwalltiles,Fall Ceiling,premiumemulsion,ceramicwalltiles,compact
1100,6800000,ceramicwall,royaleemulsion,Standard Ceiling,woodendoors,vitrifiedtiles,Standard Ceiling,1coatprimer,vitrifiedtiles,modern
780,4000000,ceramictiles,2coatputtyandstandardemulsion,Fall Ceiling,upvcdoors,ceramicwalltiles,Fall Ceiling,1coatputty,ceramicwall,classic
1350,7800000,ceramicwalltiles,1coatprimer,Standard Ceiling,fiber-glass,vitrifiedtiles,Standard Ceiling,standardemulsion,vitrifiedtiles,traditional
1200,8000000,vitrifiedtiles,2coatputtyandpremiumemulsion,Fall Ceiling,woodendoors,ceramicwalltiles,Fall Ceiling,premiumemulsion,ceramicwalltiles,modern
950,5000000,ceramicwall,1coatprimer,Standard Ceiling,teakwooddoors,vitrifiedtiles,Standard Ceiling,2coatputty,vitrifiedtiles,traditional
